nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 7.472289734994034e-06, error: 200.0418280929802, nfev: 10, res.x: 93.92469112585172
t: 8.560999534236194e-06, error: 200.052951416486, nfev: 10, res.x: -96.5558146251367
t: 8.754547942990356e-06, error: 200.06661335282763, nfev: 10, res.x: -98.00175690919798
t: 8.996483453933059e-06, error: 200.05400232319968, nfev: 10, res.x: -99.04805057509884
t: 8.996483453933059e-06, error: 200.0353672262729, nfev: 10, res.x: -94.92969087398002
t: 7.107745140659369e-06, error: 200.03712398032468, nfev: 10, res.x: 89.66744387541009
t: 7.252085783264685e-06, error: 200.03868154789797, nfev: 10, res.x: 96.73762078750737
t: 7.973788996291264e-06, error: 200.05336768665478, nfev: 10, res.x: -88.60313206279969
t: 8.102091789718212e-06, error: 200.07607491897843, nfev: 10, res.x: -94.92969087398002
t: 8.262470281501897e-06, error: 200.06678709397602, nfev: 10, res.x: -92.29856737469505
t: 8.262470281501897e-06, error: 200.03592425974864, nfev: 10, res.x: -88.04132012425342
t: 7.046783865331947e-06, error: 200.0363381006528, nfev: 10, res.x: 82.77907312568348
t: 7.160643870273553e-06, error: 200.03733141139497, nfev: 10, res.x: 94.09010383678812
t: 7.72994389498158e-06, error: 200.05162710343376, nfev: 10, res.x: 24.419859625557294
t: 7.831152788263005e-06, error: 200.07025239072323, nfev: 10, res.x: -70.00733137435857
t: 7.95766390486479e-06, error: 200.07115257337642, nfev: 10, res.x: -88.60313206279969
t: 7.95766390486479e-06, error: 200.04523772638174, nfev: 10, res.x: -22.291236000336493
t: 6.9757706163097476e-06, error: 200.03542264028454, nfev: 10, res.x: 96.55581462513669
t: 7.054123996740253e-06, error: 200.0364300838063, nfev: 10, res.x: 95.76765321589667
t: 7.4458908988927795e-06, error: 200.04119248977042, nfev: 10, res.x: 96.73762078750735
t: 7.51553834816434e-06, error: 200.04159082573784, nfev: 10, res.x: 71.63345512551524
t: 7.60259765975379e-06, error: 200.04350925517855, nfev: 10, res.x: 72.24831738728865
t: 7.60259765975379e-06, error: 200.04397509023795, nfev: 10, res.x: 89.66744387541009
